id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1460200070758891525,1460200070758891525,2021-11-15 17:56:40 SE Asia Standard Time,2021-11-15,17:56:40,+0700,930703218807623681,duniafintechcom,DuniaFintech.com,, https://t.co/HD18grMP8u  Fatwa haram crypto dari MUI terus diperbincangkan. Simak berita selengkapnya di bawah ini.  #beritafintech #beritafintechindonesia #fintech #MUI #kripto #cryptocurrencies #CryptoNews #crypto,in,[],['http://duniafintech.com/aset-kripto-haram/'],[],0,0,0,"['beritafintech', 'beritafintechindonesia', 'fintech', 'mui', 'kripto', 'cryptocurrencies', 'cryptonews', 'crypto']",[],https://twitter.com/DuniafintechCom/status/1460200070758891525,False,,0,,,,,,,,[],,,,
1459846715574407169,1459846715574407169,2021-11-14 18:32:34 SE Asia Standard Time,2021-11-14,18:32:34,+0700,115936810,tribunpontianak,Tribun Pontianak,,Daftar Negara Larang Kripto #BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok #viraltwitter #viralkan #BeritaJogja #BeritaJakarta #mui #haram #cryptotrading #Crypto #cryptocurrency #cryptocurrencies #cryptocurrecy #Bitcoin #kripto  https://t.co/yn87NnExdV,in,[],['https://pontianak.tribunnews.com/2021/11/14/daftar-negara-yang-melarang-kripto'],[],7,0,1,"['beritaterkini', 'beritaviral', 'berita', 'news', 'newsupdate', 'viral', 'viraltiktok', 'viraltwitter', 'viralkan', 'beritajogja', 'beritajakarta', 'mui', 'haram', 'cryptotrading', 'crypto', 'cryptocurrency', 'cryptocurrencies', 'cryptocurrecy', 'bitcoin', 'kripto']",[],https://twitter.com/tribunpontianak/status/1459846715574407169,False,,0,,,,,,,,[],,,,
1459475687337693189,1459475687337693189,2021-11-13 17:58:14 SE Asia Standard Time,2021-11-13,17:58:14,+0700,115936810,tribunpontianak,Tribun Pontianak,,10 KRIPTO BERNILAI TINGGI #BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok #viraltwitter #viralkan #BeritaJogja #BeritaJakarta #mui #haram #cryptotrading #Crypto #cryptocurrency #cryptocurrencies #cryptocurrecy #Bitcoin #kripto  https://t.co/dln6Byehwn,in,[],['https://pontianak.tribunnews.com/2021/11/13/daftar-10-kripto-paling-bernilai-tinggi-di-dunia-per-november-2021-ada-bitcoin-hingga-ethereum'],[],3,0,0,"['beritaterkini', 'beritaviral', 'berita', 'news', 'newsupdate', 'viral', 'viraltiktok', 'viraltwitter', 'viralkan', 'beritajogja', 'beritajakarta', 'mui', 'haram', 'cryptotrading', 'crypto', 'cryptocurrency', 'cryptocurrencies', 'cryptocurrecy', 'bitcoin', 'kripto']",[],https://twitter.com/tribunpontianak/status/1459475687337693189,False,,0,,,,,,,,[],,,,
1459433605302681605,1459433605302681605,2021-11-13 15:11:01 SE Asia Standard Time,2021-11-13,15:11:01,+0700,21374763,vingika,Blockchainmedia.id,,"Bos Indodax, Oscar Darmawan menegaskan, bahwa di Indonesia kripto bukanlah sebagai uang alias sebagai alat pembayaran, melainkan digolongkan sebagai aset.   https://t.co/avK0QGsrve  #Indodax #aset #MUI #kripto #crypto #blockchain #money #uang #Investasi #cryptocurrency",in,[],['https://blockchainmedia.id/bos-indodax-tegaskan-di-indonesia-kripto-bukanlah-uang-tetapi-aset/'],[],1,4,5,"['indodax', 'aset', 'mui', 'kripto', 'crypto', 'blockchain', 'money', 'uang', 'investasi', 'cryptocurrency']",[],https://twitter.com/Vingika/status/1459433605302681605,False,,0,,,,,,,,[],,,,
1459175845906378756,1459175845906378756,2021-11-12 22:06:46 SE Asia Standard Time,2021-11-12,22:06:46,+0700,930703218807623681,duniafintechcom,DuniaFintech.com,, https://t.co/PugkdWPHFP  Aset kripto sebagai dengan syarat tertentu sah diperjualbelikan tetapi haram untuk dijadikan sebagai mata uang menurut MUI.  #kripto #Crypto #MUI #fintechnews #fintech #cryptocurrecy,in,[],['http://duniafintech.com/aset-kripto-sebagai-komoditas/'],[],0,0,0,"['kripto', 'crypto', 'mui', 'fintechnews', 'fintech', 'cryptocurrecy']",[],https://twitter.com/DuniafintechCom/status/1459175845906378756,False,,0,,,,,,,,[],,,,
1459132656851959809,1459132656851959809,2021-11-12 19:15:09 SE Asia Standard Time,2021-11-12,19:15:09,+0700,115936810,tribunpontianak,Tribun Pontianak,,Alasan MUI Haramkan Kripto #BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok #viraltwitter #viralkan #BeritaJogja #BeritaJakarta #mui #haram #cryptotrading #Crypto #cryptocurrency #cryptocurrencies #cryptocurrecy #Bitcoin #kripto  https://t.co/C1djPpeNW6,in,[],['https://pontianak.tribunnews.com/2021/11/12/apa-penyebab-mui-haramkan-kripto-yuk-ketahui-alasan-mui-haramkan-jual-beli-pakai-uang-kripto'],[],3,0,1,"['beritaterkini', 'beritaviral', 'berita', 'news', 'newsupdate', 'viral', 'viraltiktok', 'viraltwitter', 'viralkan', 'beritajogja', 'beritajakarta', 'mui', 'haram', 'cryptotrading', 'crypto', 'cryptocurrency', 'cryptocurrencies', 'cryptocurrecy', 'bitcoin', 'kripto']",[],https://twitter.com/tribunpontianak/status/1459132656851959809,False,,0,,,,,,,,[],,,,
1459131500729757700,1459131500729757700,2021-11-12 19:10:33 SE Asia Standard Time,2021-11-12,19:10:33,+0700,115936810,tribunpontianak,Tribun Pontianak,,Apa itu Kripto ? Sejarahnya ? #BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok #viraltwitter #viralkan #BeritaJogja #BeritaJakarta #mui #haram #cryptotrading #Crypto #cryptocurrency #cryptocurrencies #cryptocurrecy #Bitcoin #kripto  https://t.co/rO792iwMvy,in,[],['https://pontianak.tribunnews.com/2021/11/12/apa-itu-kripto-ketahui-sejarah-kripto-cryptocurrency-ijtima-ulama-mui-tetapkan-uang-kripto-haram'],[],6,0,1,"['beritaterkini', 'beritaviral', 'berita', 'news', 'newsupdate', 'viral', 'viraltiktok', 'viraltwitter', 'viralkan', 'beritajogja', 'beritajakarta', 'mui', 'haram', 'cryptotrading', 'crypto', 'cryptocurrency', 'cryptocurrencies', 'cryptocurrecy', 'bitcoin', 'kripto']",[],https://twitter.com/tribunpontianak/status/1459131500729757700,False,,0,,,,,,,,[],,,,
1459068544302387204,1459068544302387204,2021-11-12 15:00:23 SE Asia Standard Time,2021-11-12,15:00:23,+0700,804666155243749376,suhukripto,SUHU Kripto,,"Kali ini FUD datang dari dalam negri guys, Hmm apakah dengan adanya fatwa ini bakal mengurangi minat masyarakat indonesia terhadap crypto? . Sobat opit bisa baca di  https://t.co/RPQpZMNSSP #MUI #crypto #kripto #cryptocurrency #bitcoin #BTC #trading #trader #investasi #haram  https://t.co/sHcl9RYcnf",in,[],['https://blockchainmedia.id/ijtima-ulama-mui-uang-kripto-itu-haram/'],['https://pbs.twimg.com/media/FD-nG6pX0AIvWCx.jpg'],2,0,2,"['mui', 'crypto', 'kripto', 'cryptocurrency', 'bitcoin', 'btc', 'trading', 'trader', 'investasi', 'haram']",[],https://twitter.com/suhukripto/status/1459068544302387204,False,,1,https://pbs.twimg.com/media/FD-nG6pX0AIvWCx.jpg,,,,,,,[],,,,
1459053436436025350,1459053436436025350,2021-11-12 14:00:21 SE Asia Standard Time,2021-11-12,14:00:21,+0700,332313519,dialektikakng,Dialektika.id,,"Hasil Ijtima Ulama ke-VII, Komisi Fatwa MUI Menyatakan Pinjol dan Kripto Adalah Haram  https://t.co/Vq8Xj59Gfj  #KRIPTOharam #pinjolHARAM #kriptopara #pinjol #Ijtima #Ulama #MUI #KriptoAdalahHaram #kripto #Crypto #beritaViral #BeritaTerkini #berita #beritadialektika",in,[],['https://dialektika.id/hasil-ijtima-ulama-ke-vii-komisi-fatwa-mui-menyatakan-pinjol-dan-kripto-adalah-haram/'],[],0,1,1,"['kriptoharam', 'pinjolharam', 'kriptopara', 'pinjol', 'ijtima', 'ulama', 'mui', 'kriptoadalahharam', 'kripto', 'crypto', 'beritaviral', 'beritaterkini', 'berita', 'beritadialektika']",[],https://twitter.com/DialektikaKng/status/1459053436436025350,False,,0,,,,,,,,[],,,,
1460200070758891525,1460200070758891525,2021-11-15 17:56:40 SE Asia Standard Time,2021-11-15,17:56:40,+0700,930703218807623681,duniafintechcom,DuniaFintech.com,, https://t.co/HD18grMP8u  Fatwa haram crypto dari MUI terus diperbincangkan. Simak berita selengkapnya di bawah ini.  #beritafintech #beritafintechindonesia #fintech #MUI #kripto #cryptocurrencies #CryptoNews #crypto,in,[],['http://duniafintech.com/aset-kripto-haram/'],[],0,0,0,"['beritafintech', 'beritafintechindonesia', 'fintech', 'mui', 'kripto', 'cryptocurrencies', 'cryptonews', 'crypto']",[],https://twitter.com/DuniafintechCom/status/1460200070758891525,False,,0,,,,,,,,[],,,,
1459846715574407169,1459846715574407169,2021-11-14 18:32:34 SE Asia Standard Time,2021-11-14,18:32:34,+0700,115936810,tribunpontianak,Tribun Pontianak,,Daftar Negara Larang Kripto #BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok #viraltwitter #viralkan #BeritaJogja #BeritaJakarta #mui #haram #cryptotrading #Crypto #cryptocurrency #cryptocurrencies #cryptocurrecy #Bitcoin #kripto  https://t.co/yn87NnExdV,in,[],['https://pontianak.tribunnews.com/2021/11/14/daftar-negara-yang-melarang-kripto'],[],7,0,1,"['beritaterkini', 'beritaviral', 'berita', 'news', 'newsupdate', 'viral', 'viraltiktok', 'viraltwitter', 'viralkan', 'beritajogja', 'beritajakarta', 'mui', 'haram', 'cryptotrading', 'crypto', 'cryptocurrency', 'cryptocurrencies', 'cryptocurrecy', 'bitcoin', 'kripto']",[],https://twitter.com/tribunpontianak/status/1459846715574407169,False,,0,,,,,,,,[],,,,
1459475687337693189,1459475687337693189,2021-11-13 17:58:14 SE Asia Standard Time,2021-11-13,17:58:14,+0700,115936810,tribunpontianak,Tribun Pontianak,,10 KRIPTO BERNILAI TINGGI #BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok #viraltwitter #viralkan #BeritaJogja #BeritaJakarta #mui #haram #cryptotrading #Crypto #cryptocurrency #cryptocurrencies #cryptocurrecy #Bitcoin #kripto  https://t.co/dln6Byehwn,in,[],['https://pontianak.tribunnews.com/2021/11/13/daftar-10-kripto-paling-bernilai-tinggi-di-dunia-per-november-2021-ada-bitcoin-hingga-ethereum'],[],3,0,0,"['beritaterkini', 'beritaviral', 'berita', 'news', 'newsupdate', 'viral', 'viraltiktok', 'viraltwitter', 'viralkan', 'beritajogja', 'beritajakarta', 'mui', 'haram', 'cryptotrading', 'crypto', 'cryptocurrency', 'cryptocurrencies', 'cryptocurrecy', 'bitcoin', 'kripto']",[],https://twitter.com/tribunpontianak/status/1459475687337693189,False,,0,,,,,,,,[],,,,
1459433605302681605,1459433605302681605,2021-11-13 15:11:01 SE Asia Standard Time,2021-11-13,15:11:01,+0700,21374763,vingika,Blockchainmedia.id,,"Bos Indodax, Oscar Darmawan menegaskan, bahwa di Indonesia kripto bukanlah sebagai uang alias sebagai alat pembayaran, melainkan digolongkan sebagai aset.   https://t.co/avK0QGsrve  #Indodax #aset #MUI #kripto #crypto #blockchain #money #uang #Investasi #cryptocurrency",in,[],['https://blockchainmedia.id/bos-indodax-tegaskan-di-indonesia-kripto-bukanlah-uang-tetapi-aset/'],[],1,4,5,"['indodax', 'aset', 'mui', 'kripto', 'crypto', 'blockchain', 'money', 'uang', 'investasi', 'cryptocurrency']",[],https://twitter.com/Vingika/status/1459433605302681605,False,,0,,,,,,,,[],,,,
1459175845906378756,1459175845906378756,2021-11-12 22:06:46 SE Asia Standard Time,2021-11-12,22:06:46,+0700,930703218807623681,duniafintechcom,DuniaFintech.com,, https://t.co/PugkdWPHFP  Aset kripto sebagai dengan syarat tertentu sah diperjualbelikan tetapi haram untuk dijadikan sebagai mata uang menurut MUI.  #kripto #Crypto #MUI #fintechnews #fintech #cryptocurrecy,in,[],['http://duniafintech.com/aset-kripto-sebagai-komoditas/'],[],0,0,0,"['kripto', 'crypto', 'mui', 'fintechnews', 'fintech', 'cryptocurrecy']",[],https://twitter.com/DuniafintechCom/status/1459175845906378756,False,,0,,,,,,,,[],,,,
1459132656851959809,1459132656851959809,2021-11-12 19:15:09 SE Asia Standard Time,2021-11-12,19:15:09,+0700,115936810,tribunpontianak,Tribun Pontianak,,Alasan MUI Haramkan Kripto #BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok #viraltwitter #viralkan #BeritaJogja #BeritaJakarta #mui #haram #cryptotrading #Crypto #cryptocurrency #cryptocurrencies #cryptocurrecy #Bitcoin #kripto  https://t.co/C1djPpeNW6,in,[],['https://pontianak.tribunnews.com/2021/11/12/apa-penyebab-mui-haramkan-kripto-yuk-ketahui-alasan-mui-haramkan-jual-beli-pakai-uang-kripto'],[],3,0,1,"['beritaterkini', 'beritaviral', 'berita', 'news', 'newsupdate', 'viral', 'viraltiktok', 'viraltwitter', 'viralkan', 'beritajogja', 'beritajakarta', 'mui', 'haram', 'cryptotrading', 'crypto', 'cryptocurrency', 'cryptocurrencies', 'cryptocurrecy', 'bitcoin', 'kripto']",[],https://twitter.com/tribunpontianak/status/1459132656851959809,False,,0,,,,,,,,[],,,,
1459131500729757700,1459131500729757700,2021-11-12 19:10:33 SE Asia Standard Time,2021-11-12,19:10:33,+0700,115936810,tribunpontianak,Tribun Pontianak,,Apa itu Kripto ? Sejarahnya ? #BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok #viraltwitter #viralkan #BeritaJogja #BeritaJakarta #mui #haram #cryptotrading #Crypto #cryptocurrency #cryptocurrencies #cryptocurrecy #Bitcoin #kripto  https://t.co/rO792iwMvy,in,[],['https://pontianak.tribunnews.com/2021/11/12/apa-itu-kripto-ketahui-sejarah-kripto-cryptocurrency-ijtima-ulama-mui-tetapkan-uang-kripto-haram'],[],6,0,1,"['beritaterkini', 'beritaviral', 'berita', 'news', 'newsupdate', 'viral', 'viraltiktok', 'viraltwitter', 'viralkan', 'beritajogja', 'beritajakarta', 'mui', 'haram', 'cryptotrading', 'crypto', 'cryptocurrency', 'cryptocurrencies', 'cryptocurrecy', 'bitcoin', 'kripto']",[],https://twitter.com/tribunpontianak/status/1459131500729757700,False,,0,,,,,,,,[],,,,
1459068544302387204,1459068544302387204,2021-11-12 15:00:23 SE Asia Standard Time,2021-11-12,15:00:23,+0700,804666155243749376,suhukripto,SUHU Kripto,,"Kali ini FUD datang dari dalam negri guys, Hmm apakah dengan adanya fatwa ini bakal mengurangi minat masyarakat indonesia terhadap crypto? . Sobat opit bisa baca di  https://t.co/RPQpZMNSSP #MUI #crypto #kripto #cryptocurrency #bitcoin #BTC #trading #trader #investasi #haram  https://t.co/sHcl9RYcnf",in,[],['https://blockchainmedia.id/ijtima-ulama-mui-uang-kripto-itu-haram/'],['https://pbs.twimg.com/media/FD-nG6pX0AIvWCx.jpg'],2,0,2,"['mui', 'crypto', 'kripto', 'cryptocurrency', 'bitcoin', 'btc', 'trading', 'trader', 'investasi', 'haram']",[],https://twitter.com/suhukripto/status/1459068544302387204,False,,1,https://pbs.twimg.com/media/FD-nG6pX0AIvWCx.jpg,,,,,,,[],,,,
1459053436436025350,1459053436436025350,2021-11-12 14:00:21 SE Asia Standard Time,2021-11-12,14:00:21,+0700,332313519,dialektikakng,Dialektika.id,,"Hasil Ijtima Ulama ke-VII, Komisi Fatwa MUI Menyatakan Pinjol dan Kripto Adalah Haram  https://t.co/Vq8Xj59Gfj  #KRIPTOharam #pinjolHARAM #kriptopara #pinjol #Ijtima #Ulama #MUI #KriptoAdalahHaram #kripto #Crypto #beritaViral #BeritaTerkini #berita #beritadialektika",in,[],['https://dialektika.id/hasil-ijtima-ulama-ke-vii-komisi-fatwa-mui-menyatakan-pinjol-dan-kripto-adalah-haram/'],[],0,1,1,"['kriptoharam', 'pinjolharam', 'kriptopara', 'pinjol', 'ijtima', 'ulama', 'mui', 'kriptoadalahharam', 'kripto', 'crypto', 'beritaviral', 'beritaterkini', 'berita', 'beritadialektika']",[],https://twitter.com/DialektikaKng/status/1459053436436025350,False,,0,,,,,,,,[],,,,
1458717340229529601,1458717340229529601,2021-11-11 15:44:50 SE Asia Standard Time,2021-11-11,15:44:50,+0700,21374763,vingika,Blockchainmedia.id,,Majelis Ulama Indonesia (MUI) lewat Ijtima Ulama ke-7 Komisi Fatwa menyebutkan bahwa uang kripto itu adalah haram.   https://t.co/PWWndTIgLx  #haram #halal #MUI #kripto #crypto,in,[],['https://blockchainmedia.id/ijtima-ulama-mui-uang-kripto-itu-haram/'],[],1,1,0,"['haram', 'halal', 'mui', 'kripto', 'crypto']",[],https://twitter.com/Vingika/status/1458717340229529601,False,,0,,,,,,,,[],,,,
